words,links,capital_words,spam_word_count,is_spam
908,2,29,9,1
476,0,1,2,0
254,1,2,2,0
232,10,26,3,1
521,7,25,2,1
884,4,5,8,1
143,10,28,8,1
380,2,5,2,0
853,2,25,1,1
43,0,0,0,0
158,0,0,5,0
279,2,2,5,0
270,1,3,0,0
632,8,28,8,1
261,2,2,2,0
418,0,2,2,0
374,4,18,8,1
457,0,2,0,0
102,4,27,10,1
704,5,30,2,1
298,2,2,3,0
164,1,3,1,0
83,1,2,1,0
110,1,18,9,1
260,1,1,0,0
66,0,0,1,0
226,0,0,4,0
176,0,2,0,0
229,1,0,6,0
32,2,3,2,0
707,9,17,8,1
76,3,5,9,1
75,0,0,2,0
271,2,2,0,0
528,2,12,0,1
504,2,29,7,1
266,1,3,0,0
107,2,2,1,0
127,2,2,5,0
111,2,0,3,0
96,1,0,2,0
749,8,26,9,1
502,10,27,6,1
83,10,23,10,1
256,2,8,10,1
136,4,16,10,1
167,2,0,1,0
259,1,7,2,0
368,1,13,4,1
395,0,0,3,0
204,2,0,2,0
317,2,0,2,0
219,0,0,0,0
174,1,0,4,1
59,1,0,1,0
521,4,14,8,1
148,0,0,2,0
909,4,25,4,1
553,4,25,4,1
137,2,2,2,0
169,9,12,8,1
82,5,30,8,1
189,0,3,1,0
40,2,3,2,0
210,3,2,2,0
71,2,0,1,0
176,4,5,5,1
515,3,14,10,1
417,5,13,8,1
28,4,0,0,0
597,10,4,7,1
194,2,5,1,0
322,5,2,1,0
273,2,26,6,1
99,2,3,3,0
818,4,7,5,1
154,4,28,7,1
638,7,25,9,1
183,2,0,1,0
622,7,9,1,1
160,1,1,2,0
383,8,0,0,1
312,2,2,2,0
232,1,2,1,0
247,0,2,5,0
80,0,2,6,0
66,1,1,1,0
43,1,1,0,0
141,0,1,1,0
438,3,1,3,1
755,9,6,6,1
560,9,11,0,1
94,3,2,2,0
113,2,1,1,0
296,2,8,1,0
190,3,3,2,0
82,7,28,9,1
513,4,4,1,1
149,2,0,0,0
366,0,5,0,0
260,1,2,2,0
997,0,6,6,1
62,0,3,2,0
258,2,0,0,0
672,6,16,7,1
277,2,1,1,0
244,0,0,0,0
149,3,1,2,0
651,10,1,9,1
343,5,5,0,0
113,3,3,1,0
212,9,26,7,1
765,1,26,10,1
22,1,3,4,0
96,0,3,1,0
232,6,29,9,1
748,3,22,3,1
678,9,16,3,1
228,1,3,2,0
816,0,20,7,1
154,2,23,9,1
60,3,1,9,1
267,3,1,6,0
394,8,25,8,1
385,4,2,6,1
266,3,15,6,1
198,0,2,2,0
133,0,1,0,0
273,2,2,5,0
43,0,5,1,0
480,4,28,9,1
83,3,0,0,0
882,1,18,9,1
173,0,9,0,0
339,5,19,9,1
118,3,23,1,1
212,2,3,1,0
587,6,1,10,1
706,6,7,4,1
549,3,22,5,1
229,0,1,2,0
304,10,12,5,1
263,1,3,1,0
891,3,18,4,1
435,2,0,1,0
220,1,3,0,0
266,0,0,0,0
275,2,26,7,1
140,2,0,1,0
145,1,2,0,0
645,2,9,3,1
137,0,3,1,0
255,8,21,9,1
270,0,1,1,0
189,5,5,7,1
81,0,9,1,0
60,3,25,9,1
529,3,0,8,1
753,1,5,3,1
401,0,3,2,0
149,2,8,0,0
843,5,8,5,1
170,5,1,0,0
133,0,2,0,0
286,4,3,2,0
493,3,1,4,0
75,0,2,10,1
222,2,0,5,0
638,5,29,8,1
547,1,14,3,1
156,4,4,0,1
255,2,1,1,0
97,2,1,1,0
731,0,21,3,1
66,3,26,9,1
911,3,17,4,1
615,9,12,4,1
765,4,6,10,1
203,0,2,6,0
184,1,2,0,0
339,2,1,2,0
498,3,10,4,1
865,4,1,10,1
990,4,2,3,1
298,3,1,2,0
958,7,26,7,1
180,0,8,4,1
275,9,3,5,1
141,6,1,0,1
601,8,5,9,1
377,1,11,0,1
135,5,3,0,0
301,8,23,10,1
65,2,2,2,0
275,1,0,0,0
65,7,15,6,1
151,4,10,1,0
145,6,17,7,1
289,0,14,6,1
161,1,3,1,0
253,2,0,0,0
115,2,6,0,1
652,5,3,3,1
941,5,16,4,1
734,5,20,5,1
168,4,13,2,1
154,5,0,2,0
147,0,0,1,0
470,1,18,9,1
72,7,7,1,1
297,10,22,7,1
59,4,1,2,0
141,9,5,1,1
241,2,19,3,1
123,0,0,2,0
200,0,1,1,0
459,1,0,2,0
237,1,9,2,0
616,3,8,7,1
195,5,1,1,0
810,7,16,4,1
321,6,23,8,1
247,0,1,2,0
187,0,8,2,0
724,6,0,10,1
36,2,1,0,0
707,3,23,8,1
922,6,7,10,1
26,2,1,2,0
125,2,2,2,0
80,9,8,8,1
324,8,19,10,1
476,2,3,3,0
178,3,1,0,0
460,4,0,1,0
901,3,28,6,1
117,2,3,4,0
134,2,3,2,0
202,1,1,2,0
329,3,1,2,0
429,4,21,9,1
244,5,7,3,1
199,2,0,4,1
127,1,1,1,0
474,9,19,7,1
66,0,1,0,0
178,0,1,0,0
84,2,0,3,1
770,9,0,7,1
356,2,1,8,1
900,7,17,5,1
291,1,2,4,0
226,2,2,0,0
174,0,3,6,0
281,1,4,6,0
67,1,0,4,0
130,3,13,5,1
630,5,5,4,1
449,1,3,1,0
102,2,0,2,0
262,2,2,2,0
618,6,20,10,1
146,3,11,4,1
363,0,2,0,0
83,1,0,0,0
215,1,5,2,0
248,2,1,1,0
177,2,1,1,0
68,1,1,6,0
78,2,0,1,0
46,1,5,1,0
180,0,25,10,1
450,1,7,0,0
641,10,14,3,1
253,2,6,2,0
156,3,3,0,0
228,1,1,5,0
259,2,0,2,0
372,9,21,5,1
811,10,10,8,1
384,2,1,0,0
383,4,15,5,1
610,8,18,3,1
259,1,3,0,0
600,5,24,8,1
156,2,2,5,0
97,2,29,10,1
318,9,12,0,1
110,5,0,1,0
195,2,1,1,0
299,1,8,2,0
274,4,0,2,0
480,3,11,1,1
419,8,8,6,1
126,0,1,2,0
237,8,10,3,1
285,0,0,2,0
383,4,2,2,0
213,7,7,2,1
96,2,0,0,0
136,1,3,5,0
241,1,5,1,0
779,3,23,8,1
716,3,28,1,1
121,1,2,3,0
26,0,6,3,0
719,9,2,8,1
98,8,16,2,1
355,1,4,6,0
213,2,8,1,0
496,1,0,0,0
895,2,23,2,1
204,1,8,2,0
311,2,23,9,1
266,1,1,0,0
677,7,28,7,1
293,6,27,10,1
199,2,14,6,1
